name,noradId,intCode,launch,period,satellites
COSMOS 2500 (GLONASS),40001,2014-032A,"June 14, 2014",675.7,Glonass
COSMOS 2494 (GLONASS),39620,2014-012A,"March 23, 2014",675.7,Glonass
COSMOS 2485 (GLONASS),39155,2013-019A,"April 26, 2013",675.7,Glonass
COSMOS 2478 (GLONASS),37938,2011-071A,"November 28, 2011",675.7,Glonass
COSMOS 2475 (GLONASS),37869,2011-064C,"November 4, 2011",675.7,Glonass
COSMOS 2477 (GLONASS),37868,2011-064B,"November 4, 2011",675.7,Glonass
COSMOS 2476 (GLONASS),37867,2011-064A,"November 4, 2011",675.7,Glonass
COSMOS 2474 (GLONASS),37829,2011-055A,"October 2, 2011",675.7,Glonass
COSMOS 2471 (GLONASS),37372,2011-009A,"February 26, 2011",675.7,Glonass
COSMOS 2464 (GLONASS),37139,2010-041C,"September 2, 2010",675.7,Glonass
COSMOS 2465 (GLONASS),37138,2010-041B,"September 2, 2010",675.7,Glonass
COSMOS 2466 (GLONASS),37137,2010-041A,"September 2, 2010",675.7,Glonass
COSMOS 2460 (GLONASS),36402,2010-007C,"March 1, 2010",675.7,Glonass
COSMOS 2461 (GLONASS),36401,2010-007B,"March 1, 2010",675.7,Glonass
COSMOS 2459 (GLONASS),36400,2010-007A,"March 1, 2010",675.7,Glonass
COSMOS 2458 (GLONASS),36113,2009-070C,"December 14, 2009",675.7,Glonass
COSMOS 2457 (GLONASS),36112,2009-070B,"December 14, 2009",675.7,Glonass
COSMOS 2456 (GLONASS),36111,2009-070A,"December 14, 2009",675.7,Glonass
COSMOS 2448 (GLONASS),33468,2008-067C,"December 25, 2008",675.7,Glonass
COSMOS 2449 (GLONASS),33467,2008-067B,"December 25, 2008",675.7,Glonass
COSMOS 2447 (GLONASS),33466,2008-067A,"December 25, 2008",675.7,Glonass
COSMOS 2444 (GLONASS),33380,2008-046C,"September 25, 2008",675.7,Glonass
COSMOS 2443 (GLONASS),33379,2008-046B,"September 25, 2008",675.7,Glonass
COSMOS 2442 (GLONASS),33378,2008-046A,"September 25, 2008",675.7,Glonass
COSMOS 2436 (GLONASS),32395,2007-065C,"December 25, 2007",675.7,Glonass
COSMOS 2435 (GLONASS),32394,2007-065B,"December 25, 2007",675.7,Glonass
COSMOS 2434 (GLONASS),32393,2007-065A,"December 25, 2007",675.7,Glonass
COSMOS 2431 (GLONASS),32277,2007-052C,"October 26, 2007",675.4,Glonass
COSMOS 2432 (GLONASS),32276,2007-052B,"October 26, 2007",675.7,Glonass
COSMOS 2433 (GLONASS),32275,2007-052A,"October 26, 2007",675.7,Glonass
COSMOS 2424 (GLONASS),29672,2006-062C,"December 25, 2006",675.7,Glonass
COSMOS 2426 (GLONASS),29671,2006-062B,"December 25, 2006",675.7,Glonass
COSMOS 2425 (GLONASS),29670,2006-062A,"December 25, 2006",675.7,Glonass
COSMOS 2417 (GLONASS),28917,2005-050C,"December 25, 2005",675.7,Glonass
COSMOS 2418 (GLONASS),28916,2005-050B,"December 25, 2005",675.7,Glonass
COSMOS 2419 (GLONASS),28915,2005-050A,"December 25, 2005",675.7,Glonass
COSMOS 2412 (GLONASS),28510,2004-053C,"December 26, 2004",675.7,Glonass
COSMOS 2411 (GLONASS),28509,2004-053B,"December 26, 2004",675.7,Glonass
COSMOS 2413 (GLONASS),28508,2004-053A,"December 26, 2004",675.7,Glonass
COSMOS 2403 (GLONASS),28114,2003-056C,"December 10, 2003",675.7,Glonass
COSMOS 2402 (GLONASS),28113,2003-056B,"December 10, 2003",675.7,Glonass
COSMOS 2404 (GLONASS),28112,2003-056A,"December 10, 2003",675.8,Glonass
COSMOS 2395 (GLONASS),27619,2002-060C,"December 25, 2002",675.7,Glonass
COSMOS 2396 (GLONASS),27618,2002-060B,"December 25, 2002",675.7,Glonass
COSMOS 2394 (GLONASS),27617,2002-060A,"December 25, 2002",675.7,Glonass
COSMOS 2380 (GLONASS),26989,2001-053C,"December 1, 2001",675.7,Glonass
COSMOS 2381 (GLONASS),26988,2001-053B,"December 1, 2001",675.7,Glonass
COSMOS 2382 (GLONASS),26987,2001-053A,"December 1, 2001",675.7,Glonass
COSMOS 2374 (GLONASS),26566,2000-063C,"October 13, 2000",675.7,Glonass
