name,launch,years,carrierRocket,launchSite,Block,№,SVN,PRN,Slot,Retired,link
Kosmos 1413,12 October 1982,2,Proton-K/DM-2,Baikonur 200/39,I,1,711,I,1,12 January 1984,#
Kosmos 1490,10 August 1983,1,Proton-K/DM-2,Baikonur 200/39,I,2,712,I,3,5 July 1984,#
Kosmos 1491,10 August 1983,1,Proton-K/DM-2,Baikonur 200/39,I,2,713,I,2,27 September 1984,#
Kosmos 1519,29 December 1983,1,Proton-K/DM-2,Baikonur 200/40,I,3,714,III,18,27 September 1984,#
Kosmos 1520,29 December 1983,3,Proton-K/DM-2,Baikonur 200/40,I,3,715,III,17,30 June 1986,#
Kosmos 1554,19 May 1984,1,Proton-K/DM-2,Baikonur 200/40,I,4,716,III,19,16 August 1985,#
Kosmos 1555,19 May 1984,1,Proton-K/DM-2,Baikonur 200/40,I,4,717,III,18,25 October 1985,#
Kosmos 1593,4 September 1984,1,Proton-K/DM-2,Baikonur 200/40,I,5,718,I,2,28 November 1985,#
Kosmos 1594,4 September 1984,2,Proton-K/DM-2,Baikonur 200/40,I,5,719,I,3,4 September 1986,#
Kosmos 1650,17 May 1985,0,Proton-K/DM-2,Baikonur 200/39,I,6,720,I,1,8 November 1985,#
Kosmos 1651,17 May 1985,2,Proton-K/DM-2,Baikonur 200/39,IIa,6,721,I,1,9 August 1987,#
Kosmos 1710,24 December 1985,2,Proton-K/DM-2,Baikonur 200/39,IIa,7,722,III,18,28 February 1987,#
Kosmos 1711,24 December 1985,2,Proton-K/DM-2,Baikonur 200/39,IIa,7,723,III,17,16 May 1987,#
Kosmos 1778,16 September 1986,1,Proton-K/DM-2,Baikonur 200/39,IIa,8,724,I,2,20 February 1987,#
Kosmos 1779,16 September 1986,2,Proton-K/DM-2,Baikonur 200/39,IIa,8,725,I,3,15 July 1988,#
Kosmos 1780,16 September 1986,2,Proton-K/DM-2,Baikonur 200/39,IIa,8,726,I,8,15 June 1988,#
Kosmos 1838,24 April 1987,0,Proton-K/DM-2,Baikonur 200/40,IIb,9,730,,,N/A,#
Kosmos 1839,24 April 1987,0,Proton-K/DM-2,Baikonur 200/40,IIb,9,731,,,N/A,#
Kosmos 1840,24 April 1987,0,Proton-K/DM-2,Baikonur 200/40,IIb,9,732,,,N/A,#
Kosmos 1883,16 September 1987,2,Proton-K/DM-2,Baikonur 200/40,IIb,10,733,III,-,6 June 1989,#
Kosmos 1884,16 September 1987,1,Proton-K/DM-2,Baikonur 200/40,IIb,10,734,III,-,30 August 1988,#
Kosmos 1885,16 September 1987,2,Proton-K/DM-2,Baikonur 200/40,IIb,10,735,III,17,1 February 1989,#
Kosmos 1917,17 February 1988,0,Proton-K/DM-2,Baikonur 200/39,IIb,11,738,,,N/A,#
Kosmos 1918,17 February 1988,0,Proton-K/DM-2,Baikonur 200/39,IIb,11,737,,,N/A,#
Kosmos 1919,17 February 1988,0,Proton-K/DM-2,Baikonur 200/39,IIb,11,736,,,N/A,#
Kosmos 1946,21 May 1988,3,Proton-K/DM-2,Baikonur 200/39,IIb,12,739,I,7,10 May 1990,#
Kosmos 1947,21 May 1988,3,Proton-K/DM-2,Baikonur 200/39,IIb,12,740,I,8,19 March 1991,#
Kosmos 1948,21 May 1988,3,Proton-K/DM-2,Baikonur 200/39,IIb,12,741,I,1,11 June 1991,#
