name,launch,years,carrierRocket,launchSite,Block,№,SVN,PRN,Slot,Retired,link
OPS 5111,22 February 1978,7,Atlas E/F SGS-1,VAFB SLC-3E,I,1[1],1,4,,17 July 1985,http://en.wikipedia.org/wiki/OPS_5111
OPS 5112,13 May 1978,10,Atlas E/F SGS-1,VAFB SLC-3E,I,2[2],2,7,,February 1988,http://en.wikipedia.org/wiki/OPS_5112
OPS 5113,7 October 1978,14,Atlas E/F SGS-1,VAFB SLC-3E,I,3[3],3,6,,18 May 1992,http://en.wikipedia.org/wiki/OPS_5113
OPS 5114,11 December 1978,12,Atlas E/F SGS-1,VAFB SLC-3E,I,4[4],4,8,,May 1990,http://en.wikipedia.org/wiki/OPS_5114
OPS 5117,9 February 1980,4,Atlas E/F SGS-1,VAFB SLC-3E,I,5[5],5,5,,11 May 1984,http://en.wikipedia.org/wiki/OPS_5117
OPS 5118,26 April 1980,11,Atlas E/F SGS-1,VAFB SLC-3E,I,6[6],6,9,,6 March 1991,http://en.wikipedia.org/wiki/OPS_5118
"N/A
(Navstar 7)",19 December 1981,0,Atlas E/F SGS-1,VAFB SLC-3E,I,7,7,,,N/A,http://en.wikipedia.org/wiki/Navstar_7
OPS 9794,14 July 1983,10,Atlas E/F SGS-2,VAFB SLC-3W,I,8[7],8,11,,4 May 1993,http://en.wikipedia.org/wiki/OPS_9794
USA-1,13 June 1984,10,Atlas E/F SGS-2,VAFB SLC-3W,I,9[8],9,13,,20 June 1994,http://en.wikipedia.org/wiki/USA-1_(satellite)
USA-5,8 September 1984,12,Atlas E/F SGS-2,VAFB SLC-3W,I,10[9],10,12,,26 March 1996,http://en.wikipedia.org/wiki/USA-5
USA-10,9 October 1985,9,Atlas E/F SGS-2,VAFB SLC-3W,I,11[10],11,3,,14 April 1994,http://en.wikipedia.org/wiki/USA-10
"N/A
(Block II prototype)",,,,,II,0,12,,,N/A,
USA-35,14 February 1989,11,Delta II 6925-9.5,CCAFS LC-17A[11],II,1[12],14,,,26 March 2000,http://en.wikipedia.org/wiki/USA-35
USA-38,10 June 1989,14,Delta II 6925-9.5,CCAFS LC-17A[11],II,2[13],13,,B3,13 May 2004,http://en.wikipedia.org/wiki/USA-38
USA-42,18 August 1989,11,Delta II 6925-9.5,CCAFS LC-17A[11],II,3[14],16,,,13 October 2000,http://en.wikipedia.org/wiki/USA-42
USA-47,21 October 1989,12,Delta II 6925-9.5,CCAFS LC-17A[11],II,4[15],19,,A5,11 September 2001,http://en.wikipedia.org/wiki/USA-47
USA-49,11 December 1989,16,Delta II 6925-9.5,CCAFS LC-17B[11],II,5[16],17,,D3,23 February 2005,http://en.wikipedia.org/wiki/USA-49
USA-50,24 January 1990,10,Delta II 6925-9.5,CCAFS LC-17A[11],II,6[17],18,,,18 August 2000,http://en.wikipedia.org/wiki/USA-50
USA-54,26 March 1990,6,Delta II 6925-9.5,CCAFS LC-17A[11],II,7[18],20,,,13 December 1996,http://en.wikipedia.org/wiki/USA-54
